COMPONENT,Site Name,Joint Base,State Terr,COUNTRY,Oper Stat,PERIMETER,AREA,Shape_Leng,Shape_Area,latitude,longitude
Army Active,Fort Bragg,N/A,North Carolina,United States,Active,119.0317856,242.0215986,241741.2137,939425104.5,35.13623674,-79.14396534
Army Active,Seward Recreation Area,N/A,Alaska,United States,Active,0.58001148,0.01811696,1871.208257,188575.9555,60.13331435,-149.4331255
Army Active,Badger AAP,N/A,Wisconsin,United States,Inactive,23.29370997,2.28162594,53417.40144,11180506.87,43.35157292,-89.73238521
Army Active,Fort Gillem,N/A,Georgia,United States,Inactive,3.01426429,0.40587821,6020.444683,1519875.439,33.61876552,-84.34261393
Navy Active,Fallbrook California,N/A,California,United States,Active,16.7435591,13.90140875,33040.58532,51748499.21,33.35888581,-117.2832108
Navy Active,NAVSUBASE New London CT,N/A,Connecticut,United States,Active,6.63136239,0.95716958,14487.51731,4409607.074,41.39954585,-72.08614541
Navy Active,"NAVBASE Guam, Naval Magazine",Joint Region Marianas,Guam,Guam,Active,0.56217199,0.01368181,912.4423338,37668.44458,13.38790358,144.6852021
Navy Active,CNI NAVMAG Indian Island,N/A,Washington,United States,Active,14.00959272,4.6283563,34395.90426,26809861.6,48.05323514,-122.7262187
AF Active,Arbuckle Airfield,N/A,Florida,United States,Active,9.01432689,2.75252299,16675.58567,9120933.754,27.65218215,-81.34766297
AF Active,Dare County Range,N/A,North Carolina,United States,Active,38.0059666,72.85184075,77844.65794,286843726.6,35.71448033,-75.87856045
AF Active,Melrose Air Force Range,N/A,New Mexico,United States,Active,49.68520507,91.70461905,99259.36799,348780288.9,34.28607229,-103.7794674
AF Guard,Reno Tahoe IAP,N/A,Nevada,United States,Active,1.31415086,0.09400832,2833.305038,409464.2058,39.50016254,-119.7751274
AF Guard,Rosecrans MAP (139AG),N/A,Missouri,United States,Active,1.70570787,0.139619,3668.673407,612790.318,39.76657537,-94.90199881
AF Active,Medical Center Annex,Joint Base San Antonio,Texas,United States,Active,2.72631071,0.30593066,5181.42975,1048814.198,29.46006147,-98.41655272
Army Guard,NG Bismarck RJB Complex,N/A,North Dakota,United States,Active,2.34698038,0.1309335,5738.30016,724167.8906,46.82954771,-100.719944
Army Guard,NG Esler Field,N/A,Louisiana,United States,Active,9.28964789,3.3394484,17937.28861,11907376.6,31.39773394,-92.29728271
Army Guard,NG RW Shepherd Hope Hull,N/A,Alabama,United States,Active,2.13542644,0.10807432,4152.729563,392801.482,32.28710551,-86.39515881
Army Guard,NG SMD,N/A,Alabama,United States,Active,1.24305785,0.10444374,2441.355223,380592.3669,32.40582573,-86.25935911
Army Guard,NG MTA Camp Curtis Guil,N/A,Massachusetts,United States,Active,7.30536322,1.09810373,16313.47608,5242706.041,42.5446993,-71.07266062
Army Guard,NG AASF02 Birmingham,N/A,Alabama,United States,Active,0.75405387,0.03481815,1489.122678,130239.2571,33.57105022,-86.75014935
Army Guard,NG Training Site,N/A,New Hampshire,United States,Active,2.31373291,0.16360676,5220.903552,799780.0908,43.27780962,-71.12222056
Army Guard,NG Las Cruces,N/A,New Mexico,United States,Active,2.17655116,0.14605195,4239.255634,530702.4202,32.27615535,-106.9351929
Army Guard,NG Lincoln AASF/Readiness Center,N/A,Nebraska,United States,Active,1.41407174,0.10204771,3129.73096,462198.0094,40.83732885,-96.75498633
Army Guard,NG Lexington AASF No 1,N/A,Oklahoma,United States,Active,4.03129299,0.47358548,8135.510966,1833328.947,35.02651585,-97.23055368
Navy Active,CNIC PMRF Barking Sands HI,N/A,Hawaii,United States,Active,23.93613131,13.83269188,41862.86339,41913482.83,22.06263752,-159.794099
Navy Active,Ford Island,Joint Base Pearl Harbor - Hickam,Hawaii,United States,Active,4.07759376,0.69618895,7089.15744,2089307.642,21.36357994,-157.9602939
Navy Active,NOLF Holley,N/A,Florida,United States,Active,4.76609279,1.08474269,9112.916775,3790878.437,30.42501228,-86.89285858
Navy Active,Naval Air Station Patuxent River,N/A,Maryland,United States,Active,33.53586982,9.70071567,70903.85959,40838073.77,38.28102816,-76.42108307
Navy Active,NSF Indian Head,N/A,Maryland,United States,Active,15.98140022,3.17933201,33896.75797,13496393.2,38.58448406,-77.18338808
Army Active,Tooele Army Depot South,N/A,Utah,United States,Active,22.22066259,30.5748078,48555.49311,136276389.3,40.29682485,-112.3429926
Army Active,Joliet AAP Elwood,N/A,Illinois,United States,Inactive,7.88730633,0.93556163,17507.49373,4304551.189,41.35756228,-88.06586552
Army Active,Redstone Arsenal,N/A,Alabama,United States,Active,36.82437325,59.65636472,73710.27166,228766130.7,34.63285078,-86.6571701
Army Active,Fort Huachuca,N/A,Arizona,United States,Active,76.52089724,126.2449889,148085.6951,451782992.2,31.56741903,-110.329649
Army Active,Cairns Basefield AL,N/A,Alabama,United States,Active,7.26037498,2.01590342,14027.72229,7170286.03,31.2786073,-85.71499451
Army Active,Runkle Stagefield AL,N/A,Alabama,United States,Active,2.81278647,0.40943928,5437.820888,1458209.233,31.34038538,-86.09188787
Army Active,Aliamanu Military Reservation,N/A,Hawaii,United States,Active,5.87763715,0.92467372,10220.29184,2774943.523,21.36187856,-157.9113889
Army Active,Dillingham Mil Res,N/A,Hawaii,United States,Active,5.47414425,0.96697142,9540.983496,2910329.128,21.57623166,-158.1987758
Army Active,Def Gen Supply Center,N/A,Virginia,United States,Active,6.3406374,0.89470004,13090.26184,3680133.779,37.41877173,-77.447529
Army Active,Fort Benning AL,N/A,Alabama,United States,Active,29.08141831,19.31206884,56833.31512,70185290.05,32.28387123,-84.95484311
