Date of Flare,Date of Sighting,Flare occur on date of sighting ,,,,,,
2-Jul-12,08-May-10,Yes,,,,,,
3-Jul-12,09-May-10,No,,,,,,
4-Jul-12,10-May-10,No,,,,,,
5-Jul-12,11-May-10,No,,,,,,
6-Jul-12,12-May-10,No,,,,,,
7-Jul-12,01-Jun-10,No,,,,,,
8-Jul-12,02-Jun-10,No,,,,,,
9-Jul-12,03-Jun-10,No,,,,,,
10-Jul-12,04-Jun-10,No,,,,,,
11-Jul-12,05-Jun-10,No,,,,,,
12-Jul-12,06-Jun-10,No,,,,,,
13-Jul-12,07-Jun-10,No,,,,,,
14-Jul-12,08-Jun-10,No,,,,,,
15-Jul-12,09-Jun-10,No,,,,,,
16-Jul-12,10-Jun-10,No,,,,,,
17-Jul-12,11-Jun-10,No,,,,,,
18-Jul-12,12-Jun-10,Yes,,,,,,
19-Jul-12,01-Jul-10,No,,,,,,
27-Jul-12,02-Jul-10,No,,,,,,
28-Jul-12,03-Jul-10,No,,,,,,
29-Jul-12,04-Jul-10,No,,,,,,
30-Jul-12,05-Jul-10,No,,,,,,
31-Jul-12,06-Jul-10,No,,,,,,
1-Aug-12,07-Jul-10,No,,,,,,
2-Aug-12,08-Jul-10,No,,,,,,
3-Aug-12,09-Jul-10,Yes,,,,,,
6-Aug-12,10-Jul-10,No,,,,,,
7-Aug-12,11-Jul-10,No,,,,,,
8-Aug-12,12-Jul-10,No,,,,,,
9-Aug-12,01-Aug-10,Yes,,,,,,
14-Aug-12,02-Aug-10,No,,,,,,
16-Aug-12,03-Aug-10,No,,,,,,
17-Aug-12,04-Aug-10,No,,,,,,
18-Aug-12,05-Aug-10,No,,,,,,
19-Aug-12,06-Aug-10,No,,,,,,
30-Aug-12,07-Aug-10,No,,,,,,
31-Aug-12,08-Aug-10,No,,,,,,
1-Sep-12,09-Aug-10,No,,,,,,
2-Sep-12,10-Aug-10,No,,,,,,
3-Sep-12,11-Aug-10,No,,,,,,
5-Sep-12,12-Aug-10,No,,,,,,
6-Sep-12,01-Sep-10,No,,,,,,
7-Sep-12,02-Sep-10,No,,,,,,
8-Sep-12,03-Sep-10,No,,,,,,
9-Sep-12,04-Sep-10,No,,,,,,
10-Sep-12,05-Sep-10,No,,,,,,
11-Sep-12,06-Sep-10,Yes,,,,,,
12-Sep-12,07-Sep-10,No,,,,,,
13-Sep-12,08-Sep-10,No,,,,,,
17-Sep-12,09-Sep-10,No,,,,,,
19-Sep-12,10-Sep-10,No,,,,,,
25-Sep-12,11-Sep-10,No,,,,,,
27-Sep-12,12-Sep-10,No,,,,,,
30-Sep-12,01-Oct-10,No,,,,,,
1-Oct-12,02-Oct-10,No,,,,,,
7-Oct-12,03-Oct-10,No,,,,,,
8-Oct-12,04-Oct-10,Yes,,,,,,
9-Oct-12,05-Oct-10,No,,,,,,
10-Oct-12,06-Oct-10,No,,,,,,
11-Oct-12,07-Oct-10,No,,,,,,
14-Oct-12,08-Oct-10,No,,,,,,
15-Oct-12,09-Oct-10,No,,,,,,
16-Oct-12,10-Oct-10,No,,,,,,
17-Oct-12,11-Oct-10,No,,,,,,
19-Oct-12,12-Oct-10,No,,,,,,
20-Oct-12,01-Nov-10,No,,,,,,
21-Oct-12,02-Nov-10,No,,,,,,
22-Oct-12,03-Nov-10,Yes,,,,,,
23-Oct-12,04-Nov-10,No,,,,,,
31-Oct-12,05-Nov-10,Yes,,,,,,
5-Nov-12,06-Nov-10,Yes,,,,,,
8-Nov-12,07-Nov-10,Yes,,,,,,
11-Nov-12,08-Nov-10,No,,,,,,
12-Nov-12,09-Nov-10,No,,,,,,
13-Nov-12,10-Nov-10,No,,,,,,
15-Nov-12,11-Nov-10,Yes,,,,,,
16-Nov-12,12-Nov-10,Yes,,,,,,
18-Nov-12,01-Dec-10,Yes,,,,,,
19-Nov-12,02-Dec-10,No,,,,,,
20-Nov-12,03-Dec-10,No,,,,,,
21-Nov-12,04-Dec-10,No,,,,,,
23-Nov-12,05-Dec-10,No,,,,,,
24-Nov-12,06-Dec-10,No,,,,,,
26-Nov-12,07-Dec-10,No,,,,,,
27-Nov-12,08-Dec-10,No,,,,,,
28-Nov-12,09-Dec-10,No,,,,,,
29-Nov-12,10-Dec-10,No,,,,,,
30-Nov-12,11-Dec-10,No,,,,,,
1-Dec-12,12-Dec-10,No,,,,,,
7-Dec-12,01-Jan-11,No,,,,,,
8-Dec-12,02-Jan-11,No,,,,,,
9-Dec-12,03-Jan-11,No,,,,,,
12-Dec-12,04-Jan-11,Yes,,,,,,
16-Dec-12,05-Jan-11,No,,,,,,
22-Dec-12,06-Jan-11,No,,,,,,
23-Dec-12,07-Jan-11,No,,,,,,
24-Dec-12,08-Jan-11,No,,,,,,
25-Dec-12,09-Jan-11,No,,,,,,
26-Dec-12,10-Jan-11,No,,,,,,
27-Dec-12,11-Jan-11,No,,,,,,
4-Jan-13,12-Jan-11,No,,,,,,
5-Jan-13,01-Feb-11,No,,,,,,
6-Jan-13,02-Feb-11,No,,,,,,
7-Jan-13,03-Feb-11,No,,,,,,
8-Jan-13,04-Feb-11,No,,,,,,
9-Jan-13,05-Feb-11,No,,,,,,
10-Jan-13,06-Feb-11,No,,,,,,
11-Jan-13,07-Feb-11,No,,,,,,
12-Jan-13,08-Feb-11,Yes,,,,,,
13-Jan-13,09-Feb-11,No,,,,,,
15-Jan-13,10-Feb-11,Yes,,,,,,
18-Jan-13,11-Feb-11,No,,,,,,
31-Jan-13,12-Feb-11,Yes,,,,,,
2-Feb-13,01-Mar-11,Yes,,,,,,
3-Feb-13,02-Mar-11,Yes,,,,,,
4-Feb-13,03-Mar-11,Yes,,,,,,
6-Feb-13,04-Mar-11,Yes,,,,,,
12-Feb-13,05-Mar-11,Yes,,,,,,
17-Feb-13,06-Mar-11,Yes,,,,,,
18-Feb-13,07-Mar-11,Yes,,,,,,
19-Feb-13,08-Mar-11,Yes,,,,,,
20-Feb-13,09-Mar-11,Yes,,,,,,
21-Feb-13,10-Mar-11,Yes,,,,,,
23-Feb-13,11-Mar-11,Yes,,,,,,
24-Feb-13,12-Mar-11,Yes,,,,,,
2-Mar-13,01-Apr-11,Yes,,,,,,
14-Mar-13,02-Apr-11,No,,,,,,
15-Mar-13,03-Apr-11,No,,,,,,
17-Mar-13,04-Apr-11,No,,,,,,
18-Mar-13,05-Apr-11,No,,,,,,
19-Mar-13,06-Apr-11,No,,,,,,
20-Mar-13,07-Apr-11,No,,,,,,
21-Mar-13,08-Apr-11,No,,,,,,
22-Mar-13,09-Apr-11,No,,,,,,
3-Apr-13,10-Apr-11,No,,,,,,
5-Apr-13,11-Apr-11,No,,,,,,
7-Apr-13,12-Apr-11,Yes,,,,,,
8-Apr-13,01-May-11,Yes,,,,,,
9-Apr-13,02-May-11,No,,,,,,
10-Apr-13,03-May-11,No,,,,,,
11-Apr-13,04-May-11,No,,,,,,
12-Apr-13,05-May-11,No,,,,,,
13-Apr-13,06-May-11,No,,,,,,
17-Apr-13,07-May-11,No,,,,,,
20-Apr-13,08-May-11,No,,,,,,
21-Apr-13,09-May-11,Yes,,,,,,
22-Apr-13,10-May-11,No,,,,,,
23-Apr-13,11-May-11,No,,,,,,
24-Apr-13,12-May-11,No,,,,,,
25-Apr-13,01-Jun-11,No,,,,,,
26-Apr-13,02-Jun-11,Yes,,,,,,
27-Apr-13,03-Jun-11,Yes,,,,,,
28-Apr-13,04-Jun-11,No,,,,,,
29-Apr-13,05-Jun-11,No,,,,,,
30-Apr-13,06-Jun-11,Yes,,,,,,
1-May-13,07-Jun-11,Yes,,,,,,
2-May-13,08-Jun-11,No,,,,,,
